performance,problem,model,algorithm,n_qaoa_layers
0.6364526268973832,Max-Cut,Random,,1
0.9755525714626595,Max-Cut,Classical,,1
0.6364526268973832,Max-Cut,Random,,2
0.9755525714626595,Max-Cut,Classical,,2
0.6364526268973832,Max-Cut,Random,,3
0.9755525714626595,Max-Cut,Classical,,3
0.6364526268973832,Max-Cut,Random,,4
0.9755525714626595,Max-Cut,Classical,,4
0.8164309565670623,Max-Cut,Ideal,QAOA,1
0.8669130463315144,Max-Cut,Ideal,QAOA,2
0.8928801519867458,Max-Cut,Ideal,QAOA,3
0.9037808280624895,Max-Cut,Ideal,QAOA,4
0.7944654515208014,Max-Cut,Noisy,QAOA,1
0.8107610929448018,Max-Cut,Noisy,QAOA,2
0.8035719619451611,Max-Cut,Noisy,QAOA,3
0.7833095284138686,Max-Cut,Noisy,QAOA,4
0.9715397585681163,Max-Cut,Ideal,WSQAOA,1
0.9609792569899543,Max-Cut,Ideal,WSQAOA,2
0.9509615981377507,Max-Cut,Ideal,WSQAOA,3
0.9493483973848509,Max-Cut,Ideal,WSQAOA,4
0.9201192435771296,Max-Cut,Noisy,WSQAOA,1
0.8672413416346751,Max-Cut,Noisy,WSQAOA,2
0.8280783585759625,Max-Cut,Noisy,WSQAOA,3
0.7945715085318149,Max-Cut,Noisy,WSQAOA,4
0.8664294430390248,Max-Cut,Ideal,WS-Init-QAOA,1
0.9019162379172494,Max-Cut,Ideal,WS-Init-QAOA,2
0.9167344530652678,Max-Cut,Ideal,WS-Init-QAOA,3
0.9239855711670169,Max-Cut,Ideal,WS-Init-QAOA,4
0.8360534329262305,Max-Cut,Noisy,WS-Init-QAOA,1
0.8319370327188437,Max-Cut,Noisy,WS-Init-QAOA,2
0.8144743652235261,Max-Cut,Noisy,WS-Init-QAOA,3
0.7884391285581575,Max-Cut,Noisy,WS-Init-QAOA,4
0.9760036471483451,Max-Cut,Ideal,RQAOA,1
0.9882837870656175,Max-Cut,Ideal,RQAOA,2
0.9924807537169572,Max-Cut,Ideal,RQAOA,3
0.9925471300199629,Max-Cut,Ideal,RQAOA,4
0.9718593117351632,Max-Cut,Noisy,RQAOA,1
0.9803683237098869,Max-Cut,Noisy,RQAOA,2
0.9819516767990065,Max-Cut,Noisy,RQAOA,3
0.9773602448577682,Max-Cut,Noisy,RQAOA,4
0.6594362438665334,Partition,Random,,1
0.9178713034335376,Partition,Classical,,1
0.6594362438665334,Partition,Random,,2
0.9178713034335376,Partition,Classical,,2
0.6594362438665334,Partition,Random,,3
0.9178713034335376,Partition,Classical,,3
0.6594362438665334,Partition,Random,,4
0.9178713034335376,Partition,Classical,,4
0.7787428371421142,Partition,Ideal,QAOA,1
0.7937491168256606,Partition,Ideal,QAOA,2
0.7965508949994424,Partition,Ideal,QAOA,3
0.7875858348054536,Partition,Ideal,QAOA,4
0.7532427243218566,Partition,Noisy,QAOA,1
0.7323835086017535,Partition,Noisy,QAOA,2
0.7068369427925507,Partition,Noisy,QAOA,3
0.6700102975397009,Partition,Noisy,QAOA,4
0.8772010157346828,Partition,Ideal,WSQAOA,1
0.875019007809274,Partition,Ideal,WSQAOA,2
0.8638656932209846,Partition,Ideal,WSQAOA,3
0.8570670207207293,Partition,Ideal,WSQAOA,4
0.8068278597340758,Partition,Noisy,WSQAOA,1
0.7587176921187151,Partition,Noisy,WSQAOA,2
0.7230781555271447,Partition,Noisy,WSQAOA,3
0.6885235279745211,Partition,Noisy,WSQAOA,4
0.8072636551234439,Partition,Ideal,WS-Init-QAOA,1
0.8104220410980951,Partition,Ideal,WS-Init-QAOA,2
0.803006131831221,Partition,Ideal,WS-Init-QAOA,3
0.7938498659454774,Partition,Ideal,WS-Init-QAOA,4
0.7699838164966625,Partition,Noisy,WS-Init-QAOA,1
0.7405491438721996,Partition,Noisy,WS-Init-QAOA,2
0.7099768438451125,Partition,Noisy,WS-Init-QAOA,3
0.6770397486603629,Partition,Noisy,WS-Init-QAOA,4
0.9114120157080925,Partition,Ideal,RQAOA,1
0.9214077615461324,Partition,Ideal,RQAOA,2
0.9217251734675349,Partition,Ideal,RQAOA,3
0.9187607234046983,Partition,Ideal,RQAOA,4
0.9091721917485297,Partition,Noisy,RQAOA,1
0.9158370882659392,Partition,Noisy,RQAOA,2
0.915851883604016,Partition,Noisy,RQAOA,3
0.9068235711627276,Partition,Noisy,RQAOA,4
